strain	previous_names	isotype
QG3546	NA	QG3546
QG3547	NA	QG3547
QG3548	NA	QG3526
QG3549	NA	QG3526
QG3782	NA	QG3831
QG3785	NA	QG3785
QG3786	NA	QG3786
QG3789	NA	QG3789
QG3790	NA	QG3790
QG3791	NA	QG3856
QG3792	NA	QG3818
QG3793	NA	QG3793
QG3795	NA	QG3795
QG3797	NA	QG3797
QG3799	NA	QG3799
QG3800	NA	QG3800
QG3802	NA	QG3871
QG3803	NA	QG3831
QG3805	NA	QG3805
QG3807	NA	QG3807
QG3808	NA	QG3808
QG3809	NA	QG3809
QG3811	NA	QG3811
QG3812	NA	QG3873
QG3814	NA	QG3805
QG3817	NA	QG3817
QG3818	NA	QG3818
QG3821	NA	QG3821
QG3824	NA	QG3824
QG3828	NA	QG3828
QG3829	NA	QG3829
QG3830	NA	NA
QG3831	NA	QG3831
QG3833	NA	QG3805
QG3834	NA	QG3834
QG3835	NA	QG3526
QG3836	NA	QG3526
QG3838	NA	QG3795
QG3839	NA	QG3839
QG3843	NA	QG3843
QG3844	NA	QG3845
QG3845	NA	QG3845
QG3846	NA	QG3848
QG3847	NA	QG3847
QG3848	NA	QG3848
QG3849	NA	QG3849
QG3850	NA	QG3850
QG3852	NA	QG3852
QG3853	NA	QG3800
QG3854	NA	QG3793
QG3855	NA	QG3856
QG3856	NA	QG3856
QG3857	NA	QG3856
QG3859	NA	QG3793
QG3860	NA	QG3795
QG3862	NA	QG3862
QG3863	NA	QG3863
QG3868	NA	QG3868
QG3869	NA	QG3871
QG3871	NA	QG3871
QG3872	NA	QG3872
QG3873	NA	QG3873
QG3877	NA	QG3877
QG3880	NA	QG3880
QG800	MB38A	QG800
QG801	MB38B	QG800
QG820	MB20A	QG823
QG823	MB20B	QG823
QG834	TK38	QG834
QG835	TK29	QG836
QG836	TK29	QG836
QG837	TK29	QG836
QG838	TK29	QG836
QG839	TK29	QG836
QG840	DT-C-1	QG840
QG841	DT-C-2	QG841
QG842	DT-C-4	QG841
QG843	DT-C-4	QG841
QG844	TK22	QG845
QG845	TK22	QG845
QG846	TK23	QG846
QG847	TK38	QG846
QG848	TK30	QG848
QG849	MVR27	QG850
QG850	MVR27	QG850
QG851	TK22	QG845
QG852	TK22	QG852
QG853	SR3	QG853
QG921	APTK29	QG1004
QG935	TK_52_1	QG935
QG942	AMA10F	QG942
QG975	AMA38	NA
QG981	AMA11C	QG981
QG987	AMA24C	QG987
TWN2103	NA	TWN2103
